"date","case_delay","Rt","lower","upper"
541,0,0,0,1.03
542,0,0,0,1.15
543,0,0,0,1.23
544,0,0,0,1.32
545,1,0.777002844131836,0.05,3.42
546,1,0.929302094426363,0.06,4.09
547,0,0,0,2.25
548,0,0,0,2.83
549,0,0,0,3.35
550,0,0,0,3.82
